warning: fbcunn not found. Falling back to cunn	
Using 1-th gpu	
GPU memory 12884705280	
Loading ./data/ptb.train.txt, size of data = 929589	
Loading ./data/ptb.valid.txt, size of data = 73760	
Loading ./data/ptb.test.txt, size of data = 82430	
Network parameters:	
{
  weight_decay : 1e-07
  batch_size : 20
  dropout_x : 0.3
  max_max_epoch : 55
  vocab_size : 10000
  max_epoch : 10
  max_grad_norm : 10
  seq_length : 35
  dropout_o : 0.5
  dropout_h : 0.3
  rnn_size : 1250
  init_weight : 0.04
  dropout_i : 0.5
  layers : 2
  decay : 1.15
  lr : 1
}
Creating a RNN LSTM network.	
Starting training.	
epoch = 0.008, train perp. = 10348.171, wps = 1574, dw:norm() = 120.196, lr = 1.000, since beginning = 0 mins.	
epoch = 0.108, train perp. = 8747.297, wps = 1611, dw:norm() = 5.061, lr = 1.000, since beginning = 1 mins.	
epoch = 0.208, train perp. = 6761.846, wps = 1612, dw:norm() = 4.309, lr = 1.000, since beginning = 2 mins.	
epoch = 0.308, train perp. = 5125.591, wps = 1611, dw:norm() = 6.208, lr = 1.000, since beginning = 3 mins.	
epoch = 0.408, train perp. = 3840.427, wps = 1611, dw:norm() = 5.025, lr = 1.000, since beginning = 4 mins.	
epoch = 0.509, train perp. = 2848.935, wps = 1611, dw:norm() = 8.166, lr = 1.000, since beginning = 5 mins.	
epoch = 0.609, train perp. = 2084.552, wps = 1611, dw:norm() = 5.740, lr = 1.000, since beginning = 6 mins.	
epoch = 0.709, train perp. = 1517.012, wps = 1610, dw:norm() = 6.027, lr = 1.000, since beginning = 7 mins.	
epoch = 0.809, train perp. = 1094.884, wps = 1609, dw:norm() = 7.154, lr = 1.000, since beginning = 8 mins.	
epoch = 0.910, train perp. = 787.070, wps = 1610, dw:norm() = 6.572, lr = 1.000, since beginning = 9 mins.	
Validation set perplexity : 292.797	
epoch = 1.010, train perp. = 547.114, wps = 1571, dw:norm() = 8.021, lr = 1.000, since beginning = 10 mins.	
epoch = 1.110, train perp. = 462.228, wps = 1574, dw:norm() = 6.491, lr = 1.000, since beginning = 11 mins.	
epoch = 1.210, train perp. = 428.049, wps = 1577, dw:norm() = 6.507, lr = 1.000, since beginning = 12 mins.	
epoch = 1.310, train perp. = 400.447, wps = 1580, dw:norm() = 6.161, lr = 1.000, since beginning = 13 mins.	
epoch = 1.411, train perp. = 379.397, wps = 1582, dw:norm() = 6.295, lr = 1.000, since beginning = 14 mins.	
epoch = 1.511, train perp. = 361.658, wps = 1584, dw:norm() = 6.942, lr = 1.000, since beginning = 15 mins.	
epoch = 1.611, train perp. = 346.689, wps = 1585, dw:norm() = 6.661, lr = 1.000, since beginning = 16 mins.	
epoch = 1.711, train perp. = 333.897, wps = 1587, dw:norm() = 6.795, lr = 1.000, since beginning = 17 mins.	
epoch = 1.812, train perp. = 323.138, wps = 1588, dw:norm() = 6.795, lr = 1.000, since beginning = 18 mins.	
epoch = 1.912, train perp. = 312.541, wps = 1589, dw:norm() = 8.027, lr = 1.000, since beginning = 19 mins.	
Validation set perplexity : 197.633	
epoch = 2.012, train perp. = 303.823, wps = 1571, dw:norm() = 7.114, lr = 1.000, since beginning = 20 mins.	
epoch = 2.112, train perp. = 295.905, wps = 1573, dw:norm() = 6.321, lr = 1.000, since beginning = 21 mins.	
epoch = 2.213, train perp. = 289.145, wps = 1574, dw:norm() = 6.863, lr = 1.000, since beginning = 22 mins.	
epoch = 2.313, train perp. = 282.430, wps = 1575, dw:norm() = 7.395, lr = 1.000, since beginning = 23 mins.	
